ANO,MES,ESTADO,REGIAO,CONSUMO_T
2003,OUT,RIO GRANDE DO NORTE,NORDESTE,35487
2003,OUT,PARAÍBA,NORDESTE,36194
2003,OUT,PERNAMBUCO,NORDESTE,90177
2003,OUT,ALAGOAS,NORDESTE,26634
2003,OUT,SERGIPE,NORDESTE,20556
2003,OUT,BAHIA,NORDESTE,154944
2003,OUT,MINAS GERAIS,SUDESTE,352678
2003,OUT,ESPÍRITO SANTO,SUDESTE,55945
2003,OUT,RIO DE JANEIRO,SUDESTE,268955
2003,OUT,SÃO PAULO,SUDESTE,853721
2003,OUT,PARANÁ,SUL,191866
2003,OUT,SANTA CATARINA,SUL,152080
2003,OUT,RIO GRANDE DO SUL,SUL,190158
2003,OUT,MATO GROSSO,CENTRO-OESTE,67214
2003,OUT,MATO GROSSO DO SUL,CENTRO-OESTE,36875
2003,OUT,GOIÁS,CENTRO-OESTE,126095
2003,OUT,DISTRITO FEDERAL,CENTRO-OESTE,60077
2003,NOV,RONDÔNIA,NORTE,18156
2003,NOV,ACRE,NORTE,5041
2003,NOV,AMAZONAS,NORTE,39614
2003,NOV,RORAIMA,NORTE,5236
2003,NOV,PARÁ,NORTE,92924
2003,NOV,AMAPÁ,NORTE,5797
2003,NOV,TOCANTINS,NORTE,22246
2003,NOV,MARANHÃO,NORDESTE,47963
2003,NOV,PIAUÍ,NORDESTE,23709
2003,NOV,CEARÁ,NORDESTE,84457
2003,NOV,RIO GRANDE DO NORTE,NORDESTE,35133
2003,NOV,PARAÍBA,NORDESTE,33993
2003,NOV,PERNAMBUCO,NORDESTE,86905
2003,NOV,ALAGOAS,NORDESTE,27789
2003,NOV,SERGIPE,NORDESTE,19390
2003,NOV,BAHIA,NORDESTE,142678
2003,NOV,MINAS GERAIS,SUDESTE,295720
2003,NOV,ESPÍRITO SANTO,SUDESTE,51371
2003,NOV,RIO DE JANEIRO,SUDESTE,247368
2003,NOV,SÃO PAULO,SUDESTE,766030
2003,NOV,PARANÁ,SUL,172099
2003,NOV,SANTA CATARINA,SUL,139013
2003,NOV,RIO GRANDE DO SUL,SUL,166277
2003,NOV,MATO GROSSO,CENTRO-OESTE,57793
2003,NOV,MATO GROSSO DO SUL,CENTRO-OESTE,33128
2003,NOV,GOIÁS,CENTRO-OESTE,112663
2003,NOV,DISTRITO FEDERAL,CENTRO-OESTE,55040
2003,DEZ,RONDÔNIA,NORTE,15494
2003,DEZ,ACRE,NORTE,4303
2003,DEZ,AMAZONAS,NORTE,36333
2003,DEZ,RORAIMA,NORTE,5516
2003,DEZ,PARÁ,NORTE,98571
2003,DEZ,AMAPÁ,NORTE,7706
2003,DEZ,TOCANTINS,NORTE,24679
2003,DEZ,MARANHÃO,NORDESTE,49930
2003,DEZ,PIAUÍ,NORDESTE,23943
2003,DEZ,CEARÁ,NORDESTE,94777
2003,DEZ,RIO GRANDE DO NORTE,NORDESTE,38580
2003,DEZ,PARAÍBA,NORDESTE,38522
2003,DEZ,PERNAMBUCO,NORDESTE,86156
2003,DEZ,ALAGOAS,NORDESTE,30032
2003,DEZ,SERGIPE,NORDESTE,23029
2003,DEZ,BAHIA,NORDESTE,142702
2003,DEZ,MINAS GERAIS,SUDESTE,270978
2003,DEZ,ESPÍRITO SANTO,SUDESTE,47913
2003,DEZ,RIO DE JANEIRO,SUDESTE,247521
2003,DEZ,SÃO PAULO,SUDESTE,711279
2003,DEZ,PARANÁ,SUL,165917
2003,DEZ,SANTA CATARINA,SUL,119170
2003,DEZ,RIO GRANDE DO SUL,SUL,156573
2003,DEZ,MATO GROSSO,CENTRO-OESTE,50908
2003,DEZ,MATO GROSSO DO SUL,CENTRO-OESTE,30870
2003,DEZ,GOIÁS,CENTRO-OESTE,100830
2003,DEZ,DISTRITO FEDERAL,CENTRO-OESTE,56634
